StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participant Info,Q01,Q01a,Q02,Q03,Q03a,Q04,Q04a,Q05,Q05a,Q06,Q06a,Q07,Q07a,Q08,Q08a,Q09,Q09a,Q10,Q10a,Q11,Q11a,Q12,Q12a,Q13,Q14,Q15,Q16
2024-04-19 03:08:27,2024-04-19 03:11:44,IP Address,91.230.41.207,100,196,True,2024-04-19 03:11:45,R_4KBnU6KznLrtrFk,,,,,24.4542,54.406,anonymous,EN,1101,"Very interesting, would engage user in repeat use","It’s so cool. Specially because I’ve never used anything like this before it was engaging and motivated me to want to do well in the assessment ",Very high level of responsiveness through interactive features/feedback/user input options,"Perfectly targeted, no issues found",,"Mostly functional with minor/negligible problems ",,"Easy to learn how to use the app (or has clear instructions) ",,"Mostly consistent/intuitive with negligible problems ",,"Mostly clear, able to select/locate/see/read items ",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"Some visual appeal – average, neither pleasant nor unpleasant ",,"Relevant/appropriate/coherent/correct ",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,"Mostly clear/logical/correct with negligible issues ",,"There are many people I would recommend this app to ","3-10 ",Maybe,★★★★★ One of the best apps I've used
2024-04-19 05:59:01,2024-04-19 06:06:29,IP Address,91.230.41.206,100,447,True,2024-04-19 06:06:29,R_4EaT8oA6tbqyVIu,,,,,24.4542,54.406,anonymous,EN,1109,"Very interesting, would engage user in repeat use",,"Basic interactive features to function adequately ","Well-targeted, with negligible issues ",,"App works overall. Some technical problems need fixing/Slow at times ",,Able to use app immediately; intuitive; simple,,"OK with some inconsistencies/confusing elements  ",,"Mostly clear, able to select/locate/see/read items ",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Moderately relevant/appropriate/coherent/and appears correct ",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,"Mostly clear/logical/correct with negligible issues ",,"There are many people I would recommend this app to ","10-50 ",No,"★★★★ "
2024-04-19 06:46:54,2024-04-19 06:51:51,IP Address,5.195.74.110,100,297,True,2024-04-19 06:51:52,R_4W09nkGfQh7WUeZ,,,,,25.0731,55.298,anonymous,EN,1103,"Very interesting, would engage user in repeat use",,Offers a variety of interactive features/feedback/user input options,"Well-targeted, with negligible issues ",,"Mostly functional with minor/negligible problems ",,"Easy to learn how to use the app (or has clear instructions) ",,Perfectly consistent and intuitive,,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Relevant/appropriate/coherent/correct ",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,Perfectly clear/logical/correct,,"Maybe There are several people whom I would recommend it to ",>50,Maybe,"★★★★ "
2024-04-20 03:46:47,2024-04-20 03:48:59,IP Address,5.195.74.110,100,132,True,2024-04-20 03:49:00,R_4e8uoRPb2rzTDxC,,,,,25.0731,55.298,anonymous,EN,1150,"Very interesting, would engage user in repeat use",,"Basic interactive features to function adequately ","Well-targeted, with negligible issues ",,"Mostly functional with minor/negligible problems ",,Able to use app immediately; intuitive; simple,,"Mostly consistent/intuitive with negligible problems ",,"Mostly clear, able to select/locate/see/read items ",,"Very high quality/resolution graphics and visual design - proportionate, stylistically consistent throughout",,"High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Highly relevant, appropriate, coherent, and correct",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,"Mostly clear/logical/correct with negligible issues ",,Definitely I would recommend this app to everyone,"10-50 ",Maybe,"★★★★ "
2024-04-20 04:54:24,2024-04-20 04:57:25,IP Address,5.195.74.110,100,180,True,2024-04-20 04:57:25,R_44njDmGmWjZGte9,,,,,25.0731,55.298,anonymous,EN,1151,Moderately interesting; would engage user for some time (5-10 minutes total),,Very high level of responsiveness through interactive features/feedback/user input options,"Acceptable but not targeted. May be inappropriate/unclear/confusing ",,"Mostly functional with minor/negligible problems ",,Able to use app immediately; intuitive; simple,,"Mostly consistent/intuitive with negligible problems ",,"Mostly clear, able to select/locate/see/read items ",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"Some visual appeal – average, neither pleasant nor unpleasant ",,"Relevant/appropriate/coherent/correct ",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,"OK but often unclear/confusing/wrong ",,"Maybe There are several people whom I would recommend it to ","10-50 ",Yes,"★★★★ "
2024-04-22 03:43:47,2024-04-22 03:49:12,IP Address,91.230.41.207,100,324,True,2024-04-22 03:49:13,R_4rJvw15sNKkh9s3,,,,,24.4542,54.406,anonymous,EN,1154,"Very interesting, would engage user in repeat use",I like the way is presented but I think a better initial setup of the graphics would make it better,"Basic interactive features to function adequately ","Well-targeted, with negligible issues ","The images of muscles and flow, can be as gif, would make it totally better, as movements question would be more than visual, interacting ","Mostly functional with minor/negligible problems ","If images at the start were bigger, would be perfect, it took time to get a good image set up",Able to use app immediately; intuitive; simple,,Perfectly consistent and intuitive,,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"Moderate quality graphics and visual design (generally consistent in style) ",I,"Some visual appeal – average, neither pleasant nor unpleasant ",,"Highly relevant, appropriate, coherent, and correct",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ","It need the information in the paper to be able to learn the material, but if as touching one muscle would display their functions would be better",Perfectly clear/logical/correct,,Definitely I would recommend this app to everyone,>50,Yes,"★★★★ "
2024-04-22 04:43:46,2024-04-22 04:46:45,IP Address,5.195.74.113,100,178,True,2024-04-22 04:46:46,R_4YABNTk3TScOIpj,,,,,25.0731,55.298,anonymous,EN,1155,"Very interesting, would engage user in repeat use","It takes some time getting used to how to navigate the app, definitely needs practice to use as a learning tool! I spent a lot of time just figuring it out that I didn’t spend engaging with the material. The labels were also difficult to read. ","Basic interactive features to function adequately ","Perfectly targeted, no issues found",,"Mostly functional with minor/negligible problems ","Just the labels were difficult to read. ","Useable after some time/effort  ",,"Mostly consistent/intuitive with negligible problems ",,"Mostly clear, able to select/locate/see/read items ",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"As above + very attractive, memorable, stands out; use of color enhances app features/menus",,"Highly relevant, appropriate, coherent, and correct",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,Perfectly clear/logical/correct,,"Maybe There are several people whom I would recommend it to ","3-10 ",Maybe,"★★★★ "
2024-04-23 06:49:33,2024-04-23 06:53:32,IP Address,5.195.74.110,100,238,True,2024-04-23 06:53:33,R_4XgEDGuHMQXjkBz,,,,,25.0731,55.298,anonymous,EN,"1187
",Moderately interesting; would engage user for some time (5-10 minutes total),,"Basic interactive features to function adequately ","Well-targeted, with negligible issues ",,Perfect/timely response; no technical bugs found/contains a ‘loading time left’ indicator,,"Easy to learn how to use the app (or has clear instructions) ",,"OK with some inconsistencies/confusing elements  ",,"Mostly clear, able to select/locate/see/read items ",it sometimes kept getting in the way like when i try to navigate one picture the other moves as well,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Moderately relevant/appropriate/coherent/and appears correct ",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,"Mostly clear/logical/correct with negligible issues ",,Definitely I would recommend this app to everyone,"10-50 ",Maybe,"★★★★ "
2024-04-23 07:30:04,2024-04-23 07:36:19,IP Address,91.230.41.206,100,374,True,2024-04-23 07:36:19,R_4ZKWkNDxouyFyvy,,,,,24.4542,54.406,anonymous,EN,1157,Moderately interesting; would engage user for some time (5-10 minutes total),,Very high level of responsiveness through interactive features/feedback/user input options,"Perfectly targeted, no issues found",,Perfect/timely response; no technical bugs found/contains a ‘loading time left’ indicator,,Able to use app immediately; intuitive; simple,,"Mostly consistent/intuitive with negligible problems ",,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"Very high quality/resolution graphics and visual design - proportionate, stylistically consistent throughout",,"As above + very attractive, memorable, stands out; use of color enhances app features/menus",,"Highly relevant, appropriate, coherent, and correct",,Comprehensive and concise; contains links to more information and resources,,Perfectly clear/logical/correct,,"There are many people I would recommend this app to ","3-10 ",Maybe,★★★★★ One of the best apps I've used
2024-04-23 08:03:52,2024-04-23 08:12:59,IP Address,5.195.74.110,100,546,True,2024-04-23 08:13:00,R_4EZ3m7ox371IEFS,,,,,25.0731,55.298,anonymous,EN,1162,"Very interesting, would engage user in repeat use",,Very high level of responsiveness through interactive features/feedback/user input options,"Well-targeted, with negligible issues ",,Perfect/timely response; no technical bugs found/contains a ‘loading time left’ indicator,,"Easy to learn how to use the app (or has clear instructions) ",,Perfectly consistent and intuitive,,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"Moderate quality graphics and visual design (generally consistent in style) ",,"As above + very attractive, memorable, stands out; use of color enhances app features/menus",,"Highly relevant, appropriate, coherent, and correct",Perfect.,Comprehensive and concise; contains links to more information and resources,,"Mostly clear/logical/correct with negligible issues ","Perhaps, the visual representation should have included minimal key explanations upon interaction, hence it could have been more of an actual interactive learning experience rather than most information to be assessed - was reliant on textual reading instead of a true aid technology in retaining knowledge. Though, visuals definitely help. ",Definitely I would recommend this app to everyone,>50,Maybe,★★★★★ One of the best apps I've used
2024-04-24 03:53:09,2024-04-24 03:54:22,IP Address,5.195.74.110,100,73,True,2024-04-24 03:54:22,R_49U7hLdLXJpb0jf,,,,,25.0731,55.298,anonymous,EN,1158,"OK, neither interesting nor uninteresting; would engage user for a brief time (< 5 minutes) ",,"Insufficient interactivity, or feedback, or user input options, limiting functions ","Acceptable but not targeted. May be inappropriate/unclear/confusing ",,"Some functions work, but lagging or contains major technical problems  ",,"Useable after a lot of time/effort ",,"OK with some inconsistencies/confusing elements  ",,"Bad design, random, unclear, some options difficult to select/locate/see/read ",,"Low quality/low-resolution graphics; low-quality visual design – disproportionate, stylistically inconsistent ",,"Some visual appeal – average, neither pleasant nor unpleasant ",,"Poor. Barely relevant/appropriate/coherent/may be incorrect ",,"Insufficient or possibly overwhelming ",,"OK but often unclear/confusing/wrong ",,"Maybe There are several people whom I would recommend it to ","3-10 ",No,"★★ "
2024-04-24 06:36:32,2024-04-24 06:38:51,IP Address,216.165.95.84,100,139,True,2024-04-24 06:38:52,R_2Lbdt7h8ksPVQLK,,,,,40.7359,-73.9904,anonymous,EN,1166,"Very interesting, would engage user in repeat use",,Offers a variety of interactive features/feedback/user input options,"Well-targeted, with negligible issues ",,"Mostly functional with minor/negligible problems ",,Able to use app immediately; intuitive; simple,,"Mostly consistent/intuitive with negligible problems ",,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Relevant/appropriate/coherent/correct ",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,Perfectly clear/logical/correct,,"Maybe There are several people whom I would recommend it to ","None ",Maybe,"★★★★ "
